dropout,hidden_dims,learning_rate,optimizer,train_loss,train_perplexity,val_loss,val_perplexity,test_loss,test_perplexity
0.1,"[100, 100]",0.001,Adam,5.128178696999527,168.7095489501953,5.513471982820816,248.0107421875,5.556504821226541,258.916259765625
0.1,"[100, 100]",0.001,SGD,6.335142495888388,564.0498657226562,6.275820751755791,531.5625,6.3012059317170195,545.2291259765625
0.1,"[100, 100]",0.01,Adam,6.322811307988691,557.136962890625,6.2688524045504295,527.8711547851562,6.302868514957995,546.1361694335938
0.1,"[100, 100]",0.01,SGD,5.465256670246953,236.33651733398438,5.452481791843496,233.33653259277344,5.492457408322753,242.85325622558594
0.1,"[200, 200]",0.001,Adam,5.094634182718872,163.14413452148438,5.517128307304822,248.9192352294922,5.556592954267369,258.9391174316406
0.1,"[200, 200]",0.001,SGD,6.2588585752207555,522.6221313476562,6.1982255160710364,491.87542724609375,6.222934480940942,504.1804504394531
0.1,"[200, 200]",0.01,Adam,6.37231962742007,585.4142456054688,6.333749420756759,563.2644653320312,6.3597278716934005,578.0889892578125
0.1,"[200, 200]",0.01,SGD,5.376096021216792,216.17672729492188,5.372719152362579,215.44793701171875,5.413367496465299,224.38587951660156
0.1,"[300, 300]",0.001,Adam,5.110412811850183,165.7387237548828,5.535922088183131,253.6415557861328,5.5697736012266805,262.3747253417969
0.1,"[300, 300]",0.001,SGD,6.22954249854218,507.5233459472656,6.172416890669105,479.3431396484375,6.19718078300111,491.36181640625
0.1,"[300, 300]",0.01,Adam,6.380808006064436,590.4044799804688,6.33233549685219,562.4686889648438,6.361225695499886,578.9555053710938
0.1,"[300, 300]",0.01,SGD,5.325233399679411,205.45631408691406,5.341418158084989,208.8086395263672,5.378655033536477,216.73056030273438
0.3,"[100, 100]",0.001,Adam,5.502722480156547,245.3589630126953,5.641083275270226,281.76776123046875,5.682387294155537,293.6496276855469
0.3,"[100, 100]",0.001,SGD,6.414871743062617,610.8623657226562,6.354456925902768,575.0499267578125,6.379291747662887,589.5098876953125
0.3,"[100, 100]",0.01,Adam,6.477538773368925,650.3681640625,6.412528249734316,609.4324340820312,6.441662130969585,627.448974609375
0.3,"[100, 100]",0.01,SGD,5.577202729431138,264.3311767578125,5.546173602195313,256.255126953125,5.586116798640084,266.6979675292969
0.3,"[200, 200]",0.001,Adam,5.477829045767691,239.32655334472656,5.65221189254591,284.9209289550781,5.68205712376648,293.5526123046875
0.3,"[200, 200]",0.001,SGD,6.309170497702949,549.5889892578125,6.250451004092737,518.2465209960938,6.27366287126006,530.416748046875
0.3,"[200, 200]",0.01,Adam,6.465142204908753,642.355712890625,6.406970586572487,606.0548706054688,6.432380216743293,621.65185546875
0.3,"[200, 200]",0.01,SGD,5.468191596417554,237.03115844726562,5.444910667480707,231.57655334472656,5.485342318468755,241.1315155029297
0.3,"[300, 300]",0.001,Adam,5.4836712660298295,240.72885131835938,5.651478203949464,284.7120361328125,5.688098770557064,295.3316345214844
0.3,"[300, 300]",0.001,SGD,6.28150140103374,534.5906372070312,6.221405479228477,503.4102783203125,6.245181656119847,515.5228271484375
0.3,"[300, 300]",0.01,Adam,6.487133420758464,656.638427734375,6.416875619864738,612.087890625,6.44330901596019,628.48291015625
0.3,"[300, 300]",0.01,SGD,5.402719511036351,222.0093536376953,5.395059381521121,220.31527709960938,5.434458570905251,229.1687774658203
0.5,"[100, 100]",0.001,Adam,5.877617146532128,356.9577331542969,5.886303046586289,360.0716247558594,5.921299426469079,372.8959655761719
0.5,"[100, 100]",0.001,SGD,6.462437798350186,640.6207275390625,6.402855876839338,603.5662841796875,6.429133997498566,619.6370239257812
0.5,"[100, 100]",0.01,Adam,6.4762782839304895,649.5490112304688,6.410637566638739,608.28125,6.429155532282965,619.6503295898438
0.5,"[100, 100]",0.01,SGD,5.733325723493615,308.9952697753906,5.690069297196641,295.9140930175781,5.725514843518978,306.5910949707031
0.5,"[200, 200]",0.001,Adam,5.910536723582278,368.90411376953125,5.918000250907471,371.667724609375,5.954076953847022,385.3210144042969
0.5,"[200, 200]",0.001,SGD,6.3721389533011275,585.3084716796875,6.310685662500548,550.4221801757812,6.3354251911931305,564.2093505859375
0.5,"[200, 200]",0.01,Adam,6.485815958136846,655.7738647460938,6.4153947374573255,611.1820068359375,6.441095018937643,627.093017578125
0.5,"[200, 200]",0.01,SGD,5.571823098658677,262.9129943847656,5.5398885526217185,254.6495819091797,5.579729992957792,265.00006103515625
0.5,"[300, 300]",0.001,Adam,5.888080091922375,360.71209716796875,5.900957085548162,365.38702392578125,5.940158693703881,379.9952697753906
0.5,"[300, 300]",0.001,SGD,6.322228025666409,556.8121337890625,6.260645378558993,523.5567016601562,6.285813811588602,536.9010620117188
0.5,"[300, 300]",0.01,Adam,6.485563448916339,655.608154296875,6.4130084722792295,609.7254028320312,6.441216512481765,627.1692504882812
0.5,"[300, 300]",0.01,SGD,5.50114594357494,244.97247314453125,5.479994684310486,239.845458984375,5.519142099339576,249.4209747314453
